Samples LFR labels
graphLFR01_83 0.1 1
graphLFR01_84 0.1 1
graphLFR01_85 0.1 1
graphLFR01_86 0.1 1
graphLFR01_87 0.1 1
graphLFR01_88 0.1 1
graphLFR01_89 0.1 1
graphLFR01_90 0.1 1
graphLFR01_91 0.1 1
graphLFR01_92 0.1 1
graphLFR01_93 0.1 1
graphLFR01_94 0.1 1
graphLFR01_95 0.1 1
graphLFR01_96 0.1 1
graphLFR01_97 0.1 1
graphLFR01_98 0.1 1
graphLFR01_99 0.1 1
graphLFR01_100 0.1 1
graphLFR01_101 0.1 1
graphLFR01_102 0.1 1
graphLFR01_103 0.1 1
graphLFR01_104 0.1 1
graphLFR01_105 0.1 1
graphLFR01_106 0.1 1
graphLFR01_107 0.1 1
graphLFR01_108 0.1 1
graphLFR01_109 0.1 1
graphLFR01_110 0.1 1
graphLFR01_111 0.1 1
graphLFR01_112 0.1 1
graphLFR01_113 0.1 1
graphLFR01_114 0.1 1
graphLFR01_115 0.1 1
graphLFR01_116 0.1 1
graphLFR01_117 0.1 1
graphLFR01_118 0.1 1
graphLFR01_119 0.1 1
graphLFR01_120 0.1 1
graphLFR01_121 0.1 1
graphLFR01_122 0.1 1
graphLFR01_123 0.1 1
graphLFR01_124 0.1 1
graphLFR01_125 0.1 1
graphLFR01_126 0.1 1
graphLFR01_127 0.1 1
graphLFR01_128 0.1 1
graphLFR01_129 0.1 1
graphLFR01_130 0.1 1
graphLFR01_131 0.1 1
graphLFR01_132 0.1 1
graphLFR01_133 0.1 1
graphLFR01_134 0.1 1
graphLFR01_135 0.1 1
graphLFR01_136 0.1 1
graphLFR01_137 0.1 1
graphLFR01_138 0.1 1
graphLFR01_139 0.1 1
graphLFR01_140 0.1 1
graphLFR01_141 0.1 1
graphLFR01_142 0.1 1
graphLFR01_143 0.1 1
graphLFR01_144 0.1 1
graphLFR01_145 0.1 1
graphLFR01_146 0.1 1
graphLFR01_147 0.1 1
graphLFR01_148 0.1 1
graphLFR01_149 0.1 1
graphLFR01_150 0.1 1
graphLFR01_151 0.1 1
graphLFR01_152 0.1 1
graphLFR01_153 0.1 1
graphLFR01_154 0.1 1
graphLFR01_155 0.1 1
graphLFR01_156 0.1 1
graphLFR01_157 0.1 1
graphLFR01_158 0.1 1
graphLFR01_159 0.1 1
graphLFR01_160 0.1 1
graphLFR01_161 0.1 1
graphLFR01_162 0.1 1
graphLFR01_163 0.1 1
graphLFR01_164 0.1 1
graphLFR01_165 0.1 1
graphLFR01_166 0.1 1
graphLFR01_167 0.1 1
graphLFR01_168 0.1 1
graphLFR01_169 0.1 1
graphLFR01_170 0.1 1
graphLFR01_171 0.1 1
graphLFR01_172 0.1 1
graphLFR01_173 0.1 1
graphLFR01_174 0.1 1
graphLFR01_175 0.1 1
graphLFR01_176 0.1 1
graphLFR01_177 0.1 1
graphLFR01_178 0.1 1
graphLFR01_179 0.1 1
graphLFR01_180 0.1 1
graphLFR01_181 0.1 1
graphLFR01_182 0.1 1
graphLFR01_183 0.1 1
graphLFR01_184 0.1 1
graphLFR01_185 0.1 1
graphLFR01_186 0.1 1
graphLFR01_187 0.1 1
graphLFR01_188 0.1 1
graphLFR01_189 0.1 1
graphLFR01_190 0.1 1
graphLFR01_191 0.1 1
graphLFR01_192 0.1 1
graphLFR01_193 0.1 1
graphLFR01_194 0.1 1
graphLFR01_195 0.1 1
graphLFR01_196 0.1 1
graphLFR01_197 0.1 1
graphLFR01_198 0.1 1
graphLFR01_199 0.1 1
graphLFR01_200 0.1 1
graphLFR01_201 0.1 1
graphLFR01_202 0.1 1
graphLFR01_203 0.1 1
graphLFR01_204 0.1 1
graphLFR01_205 0.1 1
graphLFR01_206 0.1 1
graphLFR01_207 0.1 1
graphLFR01_208 0.1 1
graphLFR01_209 0.1 1
graphLFR01_210 0.1 1
graphLFR01_211 0.1 1
graphLFR01_212 0.1 1
graphLFR01_213 0.1 1
graphLFR01_214 0.1 1
graphLFR01_215 0.1 1
graphLFR01_216 0.1 1
graphLFR01_217 0.1 1
graphLFR01_218 0.1 1
graphLFR01_219 0.1 1
graphLFR01_220 0.1 1
graphLFR01_221 0.1 1
graphLFR01_222 0.1 1
graphLFR01_223 0.1 1
graphLFR01_224 0.1 1
graphLFR01_225 0.1 1
graphLFR01_226 0.1 1
graphLFR01_227 0.1 1
graphLFR01_228 0.1 1
graphLFR01_229 0.1 1
graphLFR01_230 0.1 1
graphLFR01_231 0.1 1
graphLFR01_232 0.1 1
graphLFR01_233 0.1 1
graphLFR01_234 0.1 1
graphLFR01_235 0.1 1
graphLFR01_236 0.1 1
graphLFR01_237 0.1 1
graphLFR01_238 0.1 1
graphLFR01_239 0.1 1
graphLFR01_240 0.1 1
graphLFR01_241 0.1 1
graphLFR01_242 0.1 1
graphLFR01_243 0.1 1
graphLFR01_244 0.1 1
graphLFR01_245 0.1 1
graphLFR01_246 0.1 1
graphLFR01_247 0.1 1
graphLFR01_248 0.1 1
graphLFR01_249 0.1 1
graphLFR01_250 0.1 1
graphLFR01_251 0.1 1
graphLFR01_252 0.1 1
graphLFR01_253 0.1 1
graphLFR01_254 0.1 1
graphLFR01_255 0.1 1
graphLFR01_256 0.1 1
graphLFR01_257 0.1 1
graphLFR01_258 0.1 1
graphLFR01_259 0.1 1
graphLFR01_260 0.1 1
graphLFR01_261 0.1 1
graphLFR01_262 0.1 1
graphLFR01_263 0.1 1
graphLFR01_264 0.1 1
graphLFR01_265 0.1 1
graphLFR01_266 0.1 1
graphLFR01_267 0.1 1
graphLFR01_268 0.1 1
graphLFR01_269 0.1 1
graphLFR01_270 0.1 1
graphLFR01_271 0.1 1
graphLFR01_272 0.1 1
graphLFR01_273 0.1 1
graphLFR01_274 0.1 1
graphLFR01_275 0.1 1
graphLFR01_276 0.1 1
graphLFR01_277 0.1 1
graphLFR01_278 0.1 1
graphLFR01_279 0.1 1
graphLFR01_280 0.1 1
graphLFR01_281 0.1 1
graphLFR01_282 0.1 1
graphLFR01_283 0.1 1
graphLFR01_284 0.1 1
graphLFR01_285 0.1 1
graphLFR01_286 0.1 1
graphLFR01_287 0.1 1
graphLFR01_288 0.1 1
graphLFR01_289 0.1 1
graphLFR01_290 0.1 1
graphLFR01_291 0.1 1
graphLFR01_292 0.1 1
graphLFR01_293 0.1 1
graphLFR01_294 0.1 1
graphLFR01_295 0.1 1
graphLFR01_296 0.1 1
graphLFR01_297 0.1 1
graphLFR01_298 0.1 1
graphLFR01_299 0.1 1
graphLFR01_300 0.1 1
graphLFR01_301 0.1 1
graphLFR01_302 0.1 1
graphLFR01_303 0.1 1
graphLFR01_304 0.1 1
graphLFR01_305 0.1 1
graphLFR01_306 0.1 1
graphLFR01_307 0.1 1
graphLFR01_308 0.1 1
graphLFR01_309 0.1 1
graphLFR01_310 0.1 1
graphLFR01_311 0.1 1
graphLFR01_312 0.1 1
graphLFR01_313 0.1 1
graphLFR01_314 0.1 1
graphLFR01_315 0.1 1
graphLFR01_316 0.1 1
graphLFR01_317 0.1 1
graphLFR01_318 0.1 1
graphLFR01_319 0.1 1
graphLFR01_320 0.1 1
graphLFR01_321 0.1 1
graphLFR01_322 0.1 1
graphLFR01_323 0.1 1
graphLFR01_324 0.1 1
graphLFR01_325 0.1 1
graphLFR01_326 0.1 1
graphLFR01_327 0.1 1
graphLFR01_328 0.1 1
graphLFR01_329 0.1 1
graphLFR01_330 0.1 1
graphLFR01_331 0.1 1
graphLFR01_332 0.1 1
graphLFR01_333 0.1 1
graphLFR01_334 0.1 1
graphLFR01_335 0.1 1
graphLFR01_336 0.1 1
graphLFR01_337 0.1 1
graphLFR01_338 0.1 1
graphLFR01_339 0.1 1
graphLFR01_340 0.1 1
graphLFR01_341 0.1 1
graphLFR01_342 0.1 1
graphLFR01_343 0.1 1
graphLFR01_344 0.1 1
graphLFR01_345 0.1 1
graphLFR01_346 0.1 1
graphLFR01_347 0.1 1
graphLFR01_348 0.1 1
graphLFR01_349 0.1 1
graphLFR01_350 0.1 1
graphLFR01_351 0.1 1
graphLFR01_352 0.1 1
graphLFR01_353 0.1 1
graphLFR01_354 0.1 1
graphLFR01_355 0.1 1
graphLFR01_356 0.1 1
graphLFR01_357 0.1 1
graphLFR01_358 0.1 1
graphLFR01_359 0.1 1
graphLFR01_360 0.1 1
graphLFR01_361 0.1 1
graphLFR01_362 0.1 1
graphLFR01_363 0.1 1
graphLFR01_364 0.1 1
graphLFR01_365 0.1 1
graphLFR01_366 0.1 1
graphLFR01_367 0.1 1
graphLFR01_368 0.1 1
graphLFR01_369 0.1 1
graphLFR01_370 0.1 1
graphLFR01_371 0.1 1
graphLFR01_372 0.1 1
graphLFR01_373 0.1 1
graphLFR01_374 0.1 1
graphLFR01_375 0.1 1
graphLFR01_376 0.1 1
graphLFR01_377 0.1 1
graphLFR01_378 0.1 1
graphLFR01_379 0.1 1
graphLFR01_380 0.1 1
graphLFR01_381 0.1 1
graphLFR01_382 0.1 1
graphLFR01_383 0.1 1
graphLFR01_384 0.1 1
graphLFR01_385 0.1 1
graphLFR01_386 0.1 1
graphLFR01_387 0.1 1
graphLFR01_388 0.1 1
graphLFR01_389 0.1 1
graphLFR01_390 0.1 1
graphLFR01_391 0.1 1
graphLFR01_392 0.1 1
graphLFR01_393 0.1 1
graphLFR01_394 0.1 1
graphLFR01_395 0.1 1
graphLFR01_396 0.1 1
graphLFR01_397 0.1 1
graphLFR01_398 0.1 1
graphLFR01_399 0.1 1
graphLFR01_400 0.1 1
graphLFR01_401 0.1 1
graphLFR01_402 0.1 1
graphLFR01_403 0.1 1
graphLFR01_404 0.1 1
graphLFR01_405 0.1 1
graphLFR01_406 0.1 1
graphLFR01_407 0.1 1
graphLFR01_408 0.1 1
graphLFR01_409 0.1 1
graphLFR01_410 0.1 1
graphLFR01_411 0.1 1
graphLFR01_412 0.1 1
graphLFR01_413 0.1 1
graphLFR01_414 0.1 1
graphLFR01_415 0.1 1
graphLFR01_416 0.1 1
graphLFR01_417 0.1 1
graphLFR01_418 0.1 1
graphLFR01_419 0.1 1
graphLFR01_420 0.1 1
graphLFR01_421 0.1 1
graphLFR01_422 0.1 1
graphLFR01_423 0.1 1
graphLFR01_424 0.1 1
graphLFR01_425 0.1 1
graphLFR01_426 0.1 1
graphLFR01_427 0.1 1
graphLFR01_428 0.1 1
graphLFR01_429 0.1 1
graphLFR01_430 0.1 1
graphLFR01_431 0.1 1
graphLFR01_432 0.1 1
graphLFR01_433 0.1 1
graphLFR01_434 0.1 1
graphLFR01_435 0.1 1
graphLFR01_436 0.1 1
graphLFR01_437 0.1 1
graphLFR01_438 0.1 1
graphLFR01_439 0.1 1
graphLFR01_440 0.1 1
graphLFR01_441 0.1 1
graphLFR01_442 0.1 1
graphLFR01_443 0.1 1
graphLFR01_444 0.1 1
graphLFR01_445 0.1 1
graphLFR01_446 0.1 1
graphLFR01_447 0.1 1
graphLFR01_448 0.1 1
graphLFR01_449 0.1 1
graphLFR01_450 0.1 1
graphLFR01_451 0.1 1
graphLFR01_452 0.1 1
graphLFR01_453 0.1 1
graphLFR01_454 0.1 1
graphLFR01_455 0.1 1
graphLFR01_456 0.1 1
graphLFR01_457 0.1 1
graphLFR01_458 0.1 1
graphLFR01_459 0.1 1
graphLFR01_460 0.1 1
graphLFR01_461 0.1 1
graphLFR01_462 0.1 1
graphLFR01_463 0.1 1
graphLFR01_464 0.1 1
graphLFR01_465 0.1 1
graphLFR01_466 0.1 1
graphLFR01_467 0.1 1
graphLFR01_468 0.1 1
graphLFR01_469 0.1 1
graphLFR01_470 0.1 1
graphLFR01_471 0.1 1
graphLFR01_472 0.1 1
graphLFR01_473 0.1 1
graphLFR01_474 0.1 1
graphLFR01_475 0.1 1
graphLFR01_476 0.1 1
graphLFR01_477 0.1 1
graphLFR01_478 0.1 1
graphLFR01_479 0.1 1
graphLFR01_480 0.1 1
graphLFR01_481 0.1 1
graphLFR01_482 0.1 1
graphLFR01_483 0.1 1
graphLFR01_484 0.1 1
graphLFR01_485 0.1 1
graphLFR01_486 0.1 1
graphLFR01_487 0.1 1
graphLFR01_488 0.1 1
graphLFR01_489 0.1 1
graphLFR01_490 0.1 1
graphLFR01_491 0.1 1
graphLFR01_492 0.1 1
graphLFR01_493 0.1 1
graphLFR01_494 0.1 1
graphLFR01_495 0.1 1
graphLFR01_496 0.1 1
graphLFR01_497 0.1 1
graphLFR01_498 0.1 1
graphLFR01_499 0.1 1
graphLFR01_500 0.1 1
graphLFR01_501 0.1 1
graphLFR01_502 0.1 1
graphLFR01_503 0.1 1
graphLFR01_504 0.1 1
graphLFR01_505 0.1 1
graphLFR01_506 0.1 1
graphLFR01_507 0.1 1
graphLFR01_508 0.1 1
graphLFR01_509 0.1 1
graphLFR01_510 0.1 1
graphLFR01_511 0.1 1
graphLFR01_512 0.1 1
graphLFR01_513 0.1 1
graphLFR01_514 0.1 1
graphLFR01_515 0.1 1
graphLFR01_516 0.1 1
graphLFR01_517 0.1 1
graphLFR01_518 0.1 1
graphLFR01_519 0.1 1
graphLFR01_520 0.1 1
graphLFR01_521 0.1 1
graphLFR01_522 0.1 1
graphLFR01_523 0.1 1
graphLFR01_524 0.1 1
graphLFR01_525 0.1 1
graphLFR01_526 0.1 1
graphLFR01_527 0.1 1
graphLFR01_528 0.1 1
graphLFR01_529 0.1 1
graphLFR01_530 0.1 1
graphLFR01_531 0.1 1
graphLFR01_532 0.1 1
graphLFR01_533 0.1 1
graphLFR01_534 0.1 1
graphLFR01_535 0.1 1
graphLFR01_536 0.1 1
graphLFR01_537 0.1 1
graphLFR01_538 0.1 1
graphLFR01_539 0.1 1
graphLFR01_540 0.1 1
graphLFR01_541 0.1 1
graphLFR01_542 0.1 1
graphLFR01_543 0.1 1
graphLFR01_544 0.1 1
graphLFR01_545 0.1 1
graphLFR01_546 0.1 1
graphLFR01_547 0.1 1
graphLFR01_548 0.1 1
graphLFR01_549 0.1 1
graphLFR01_550 0.1 1
graphLFR01_551 0.1 1
graphLFR01_552 0.1 1
graphLFR01_553 0.1 1
graphLFR01_554 0.1 1
graphLFR01_555 0.1 1
graphLFR01_556 0.1 1
graphLFR01_557 0.1 1
graphLFR01_558 0.1 1
graphLFR01_559 0.1 1
graphLFR01_560 0.1 1
graphLFR01_561 0.1 1
graphLFR01_562 0.1 1
graphLFR01_563 0.1 1
graphLFR01_564 0.1 1
graphLFR01_565 0.1 1
graphLFR01_566 0.1 1
graphLFR01_567 0.1 1
graphLFR01_568 0.1 1
graphLFR01_569 0.1 1
graphLFR01_570 0.1 1
graphLFR01_571 0.1 1
graphLFR01_572 0.1 1
graphLFR01_573 0.1 1
graphLFR01_574 0.1 1
graphLFR01_575 0.1 1
graphLFR01_576 0.1 1
graphLFR01_577 0.1 1
graphLFR01_578 0.1 1
graphLFR01_579 0.1 1
graphLFR01_580 0.1 1
graphLFR01_581 0.1 1
graphLFR01_582 0.1 1
graphLFR01_583 0.1 1
graphLFR01_584 0.1 1
graphLFR01_585 0.1 1
graphLFR01_586 0.1 1
graphLFR01_587 0.1 1
graphLFR01_588 0.1 1
graphLFR01_589 0.1 1
graphLFR01_590 0.1 1
graphLFR01_591 0.1 1
graphLFR01_592 0.1 1
graphLFR01_593 0.1 1
graphLFR01_594 0.1 1
graphLFR01_595 0.1 1
graphLFR01_596 0.1 1
graphLFR01_597 0.1 1
graphLFR01_598 0.1 1
graphLFR01_599 0.1 1
graphLFR01_600 0.1 1
graphLFR05_1 0.5 2
graphLFR05_2 0.5 2
graphLFR05_3 0.5 2
graphLFR05_4 0.5 2
graphLFR05_5 0.5 2
graphLFR05_6 0.5 2
graphLFR05_7 0.5 2
graphLFR05_8 0.5 2
graphLFR05_9 0.5 2
graphLFR05_10 0.5 2
graphLFR05_11 0.5 2
graphLFR05_12 0.5 2
graphLFR05_13 0.5 2
graphLFR05_14 0.5 2
graphLFR05_15 0.5 2
graphLFR05_16 0.5 2
graphLFR05_17 0.5 2
graphLFR05_18 0.5 2
graphLFR05_19 0.5 2
graphLFR05_20 0.5 2
graphLFR05_21 0.5 2
graphLFR05_22 0.5 2
graphLFR05_23 0.5 2
graphLFR05_24 0.5 2
graphLFR05_25 0.5 2
graphLFR05_26 0.5 2
graphLFR05_27 0.5 2
graphLFR05_28 0.5 2
graphLFR05_29 0.5 2
graphLFR05_30 0.5 2
graphLFR05_31 0.5 2
graphLFR05_32 0.5 2
graphLFR05_33 0.5 2
graphLFR05_34 0.5 2
graphLFR05_35 0.5 2
graphLFR05_36 0.5 2
graphLFR05_37 0.5 2
graphLFR05_38 0.5 2
graphLFR05_39 0.5 2
graphLFR05_40 0.5 2
graphLFR05_41 0.5 2
graphLFR05_42 0.5 2
graphLFR05_43 0.5 2
graphLFR05_44 0.5 2
graphLFR05_45 0.5 2
graphLFR05_46 0.5 2
graphLFR05_47 0.5 2
graphLFR05_48 0.5 2
graphLFR05_49 0.5 2
graphLFR05_50 0.5 2
graphLFR05_51 0.5 2
graphLFR05_52 0.5 2
graphLFR05_53 0.5 2
graphLFR05_54 0.5 2
graphLFR05_55 0.5 2
graphLFR05_56 0.5 2
graphLFR05_57 0.5 2
graphLFR05_58 0.5 2
graphLFR05_59 0.5 2
graphLFR05_60 0.5 2
graphLFR05_61 0.5 2
graphLFR05_62 0.5 2
graphLFR05_63 0.5 2
graphLFR05_64 0.5 2
graphLFR05_65 0.5 2
graphLFR05_66 0.5 2
graphLFR05_67 0.5 2
graphLFR05_68 0.5 2
graphLFR05_69 0.5 2
graphLFR05_70 0.5 2
graphLFR05_71 0.5 2
graphLFR05_72 0.5 2
graphLFR05_73 0.5 2
graphLFR05_74 0.5 2
graphLFR05_75 0.5 2
graphLFR05_76 0.5 2
graphLFR05_77 0.5 2
graphLFR05_78 0.5 2
graphLFR05_79 0.5 2
graphLFR05_80 0.5 2
graphLFR05_81 0.5 2
graphLFR05_82 0.5 2
graphLFR05_83 0.5 2
graphLFR05_84 0.5 2
graphLFR05_85 0.5 2
graphLFR05_86 0.5 2
graphLFR05_87 0.5 2
graphLFR05_88 0.5 2
graphLFR05_89 0.5 2
graphLFR05_90 0.5 2
graphLFR05_91 0.5 2
graphLFR05_92 0.5 2
graphLFR05_93 0.5 2
graphLFR05_94 0.5 2
graphLFR05_95 0.5 2
graphLFR05_96 0.5 2
graphLFR05_97 0.5 2
graphLFR05_98 0.5 2
graphLFR05_99 0.5 2
graphLFR05_100 0.5 2
graphLFR05_101 0.5 2
graphLFR05_102 0.5 2
graphLFR05_103 0.5 2
graphLFR05_104 0.5 2
graphLFR05_105 0.5 2
graphLFR05_106 0.5 2
graphLFR05_107 0.5 2
graphLFR05_108 0.5 2
graphLFR05_109 0.5 2
graphLFR05_110 0.5 2
graphLFR05_111 0.5 2
graphLFR05_112 0.5 2
graphLFR05_113 0.5 2
graphLFR05_114 0.5 2
graphLFR05_115 0.5 2
graphLFR05_116 0.5 2
graphLFR05_117 0.5 2
graphLFR05_118 0.5 2
graphLFR05_119 0.5 2
graphLFR05_120 0.5 2
graphLFR05_121 0.5 2
graphLFR05_122 0.5 2
graphLFR05_123 0.5 2
graphLFR05_124 0.5 2
graphLFR05_125 0.5 2
graphLFR05_126 0.5 2
graphLFR05_127 0.5 2
graphLFR05_128 0.5 2
graphLFR05_129 0.5 2
graphLFR05_130 0.5 2
graphLFR05_131 0.5 2
graphLFR05_132 0.5 2
graphLFR05_133 0.5 2
graphLFR05_134 0.5 2
graphLFR05_135 0.5 2
graphLFR05_136 0.5 2
graphLFR05_137 0.5 2
graphLFR05_138 0.5 2
graphLFR05_139 0.5 2
graphLFR05_140 0.5 2
graphLFR05_141 0.5 2
graphLFR05_142 0.5 2
graphLFR05_143 0.5 2
graphLFR05_144 0.5 2
graphLFR05_145 0.5 2
graphLFR05_146 0.5 2
graphLFR05_147 0.5 2
graphLFR05_148 0.5 2
graphLFR05_149 0.5 2
graphLFR05_150 0.5 2
graphLFR05_151 0.5 2
graphLFR05_152 0.5 2
graphLFR05_153 0.5 2
graphLFR05_154 0.5 2
graphLFR05_155 0.5 2
graphLFR05_156 0.5 2
graphLFR05_157 0.5 2
graphLFR05_158 0.5 2
graphLFR05_159 0.5 2
graphLFR05_160 0.5 2
graphLFR05_161 0.5 2
graphLFR05_162 0.5 2
graphLFR05_163 0.5 2
graphLFR05_164 0.5 2
graphLFR05_165 0.5 2
graphLFR05_166 0.5 2
graphLFR05_167 0.5 2
graphLFR05_168 0.5 2
graphLFR05_169 0.5 2
graphLFR05_170 0.5 2
graphLFR05_171 0.5 2
graphLFR05_172 0.5 2
graphLFR05_173 0.5 2
graphLFR05_174 0.5 2
graphLFR05_175 0.5 2
graphLFR05_176 0.5 2
graphLFR05_177 0.5 2
graphLFR05_178 0.5 2
graphLFR05_179 0.5 2
graphLFR05_180 0.5 2
graphLFR05_181 0.5 2
graphLFR05_182 0.5 2
graphLFR05_183 0.5 2
graphLFR05_184 0.5 2
graphLFR05_185 0.5 2
graphLFR05_186 0.5 2
graphLFR05_187 0.5 2
graphLFR05_188 0.5 2
graphLFR05_189 0.5 2
graphLFR05_190 0.5 2
graphLFR05_191 0.5 2
graphLFR05_192 0.5 2
graphLFR05_193 0.5 2
graphLFR05_194 0.5 2
graphLFR05_195 0.5 2
graphLFR05_196 0.5 2
graphLFR05_197 0.5 2
graphLFR05_198 0.5 2
graphLFR05_199 0.5 2
graphLFR05_200 0.5 2
graphLFR05_201 0.5 2
graphLFR05_202 0.5 2
graphLFR05_203 0.5 2
graphLFR05_204 0.5 2
graphLFR05_205 0.5 2
graphLFR05_206 0.5 2
graphLFR05_207 0.5 2
graphLFR05_208 0.5 2
graphLFR05_209 0.5 2
graphLFR05_210 0.5 2
graphLFR05_211 0.5 2
graphLFR05_212 0.5 2
graphLFR05_213 0.5 2
graphLFR05_214 0.5 2
graphLFR05_215 0.5 2
graphLFR05_216 0.5 2
graphLFR05_217 0.5 2
graphLFR05_218 0.5 2
graphLFR05_219 0.5 2
graphLFR05_220 0.5 2
graphLFR05_221 0.5 2
graphLFR05_222 0.5 2
graphLFR05_223 0.5 2
graphLFR05_224 0.5 2
graphLFR05_225 0.5 2
graphLFR05_226 0.5 2
graphLFR05_227 0.5 2
graphLFR05_228 0.5 2
graphLFR05_229 0.5 2
graphLFR05_230 0.5 2
graphLFR05_231 0.5 2
graphLFR05_232 0.5 2
graphLFR05_233 0.5 2
graphLFR05_234 0.5 2
graphLFR05_235 0.5 2
graphLFR05_236 0.5 2
graphLFR05_237 0.5 2
graphLFR05_238 0.5 2
graphLFR05_239 0.5 2
graphLFR05_240 0.5 2
graphLFR05_241 0.5 2
graphLFR05_242 0.5 2
graphLFR05_243 0.5 2
graphLFR05_244 0.5 2
graphLFR05_245 0.5 2
graphLFR05_246 0.5 2
graphLFR05_247 0.5 2
graphLFR05_248 0.5 2
graphLFR05_249 0.5 2
graphLFR05_250 0.5 2
graphLFR05_251 0.5 2
graphLFR05_252 0.5 2
graphLFR05_253 0.5 2
graphLFR05_254 0.5 2
graphLFR05_255 0.5 2
graphLFR05_256 0.5 2
graphLFR05_257 0.5 2
graphLFR05_258 0.5 2
graphLFR05_259 0.5 2
graphLFR05_260 0.5 2
graphLFR05_261 0.5 2
graphLFR05_262 0.5 2
graphLFR05_263 0.5 2
graphLFR05_264 0.5 2
graphLFR05_265 0.5 2
graphLFR05_266 0.5 2
graphLFR05_267 0.5 2
graphLFR05_268 0.5 2
graphLFR05_269 0.5 2
graphLFR05_270 0.5 2
graphLFR05_271 0.5 2
graphLFR05_272 0.5 2
graphLFR05_273 0.5 2
graphLFR05_274 0.5 2
graphLFR05_275 0.5 2
graphLFR05_276 0.5 2
graphLFR05_277 0.5 2
graphLFR05_278 0.5 2
graphLFR05_279 0.5 2
graphLFR05_280 0.5 2
graphLFR05_281 0.5 2
graphLFR05_282 0.5 2
graphLFR05_283 0.5 2
graphLFR05_284 0.5 2
graphLFR05_285 0.5 2
graphLFR05_286 0.5 2
graphLFR05_287 0.5 2
graphLFR05_288 0.5 2
graphLFR05_289 0.5 2
graphLFR05_290 0.5 2
graphLFR05_291 0.5 2
graphLFR05_292 0.5 2
graphLFR05_293 0.5 2
graphLFR05_294 0.5 2
graphLFR05_295 0.5 2
graphLFR05_296 0.5 2
graphLFR05_297 0.5 2
graphLFR05_298 0.5 2
graphLFR05_299 0.5 2
graphLFR05_300 0.5 2
graphLFR05_301 0.5 2
graphLFR05_302 0.5 2
graphLFR05_303 0.5 2
graphLFR05_304 0.5 2
graphLFR05_305 0.5 2
graphLFR05_306 0.5 2
graphLFR05_307 0.5 2
graphLFR05_308 0.5 2
graphLFR05_309 0.5 2
graphLFR05_310 0.5 2
graphLFR05_311 0.5 2
graphLFR05_312 0.5 2
graphLFR05_313 0.5 2
graphLFR05_314 0.5 2
graphLFR05_315 0.5 2
graphLFR05_316 0.5 2
graphLFR05_317 0.5 2
graphLFR05_318 0.5 2
graphLFR05_319 0.5 2
graphLFR05_320 0.5 2
graphLFR05_321 0.5 2
graphLFR05_322 0.5 2
graphLFR05_323 0.5 2
graphLFR05_324 0.5 2
graphLFR05_325 0.5 2
graphLFR05_326 0.5 2
graphLFR05_327 0.5 2
graphLFR05_328 0.5 2
graphLFR05_329 0.5 2
graphLFR05_330 0.5 2
graphLFR05_331 0.5 2
graphLFR05_332 0.5 2
